objectid,youtubeid,title,creator,datecreated,subject,location,filename,source,type,format,language,rights,citation,creativecommons,image_alt_text,description,,,,
histoftrktwn_1960_pkni_003,,Phil Knight,,1960,Phil Knight;Bill Bowerman;Nike ,Japan,histoftrktwn_1960_pkni_003.jpg,"<a href=""https://oregondigital.org/""target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives</a>",Image;Still Image,image/jpg,jap,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Knight and Bowerman"".15 Feb 2024,UO Archives Photographs, University of Oregon.<a href='https://oregondigital.org/concern/images/df66nm50z' target='_blank'>https://oregondigital.org/concern/images/df66nm50z</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>",Color image from a Japanese magazine of Phil Knight and Bill Bowerman standing in front of trees wearing Nike's. The upper portion of the image is a series of photos showing Knight running in Nike's.,Image from a Japanese Magazine of Phil Knight and Bill Bowerman posing in Nike's. The top portion shows Knight running in Nike's.,,,,
histoftrktwn_1964_bbow_004,,Bill Bowerman,,1964,Bill Bowerman,"Springfield, OR",histoftrktwn_1964_bbow_004.jpg,"<a href=""https://oregondigital.org/""target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Bill Bowerman,1964"".16 Feb 2024,UO Athletics, University of Oregon.<a href='https://oregondigital.org/concern/images/df668c82w' target='_blank'>https://oregondigital.org/concern/images/df668c82w</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>",Black and white photo of Bill Bowerman leading a group of joggers through tall grass on a hillside near his home.,Bill Bowerman leading a group of joggers on a hillside near his home in Springfield.,,,,
histoftrktwn_1976_otrk_005,,Olympic Track Trials,,1976,Hayward Field,"Eugene, OR",histoftrktwn_1976_otrk_005.pdf,"<a href=""https://oregondigital.org/""target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""1976 U.S. Olympic Track & Field Trials Official Souvenir Program"".16 Feb 2024,UO Athletics,University of Oregon.<a href='https://oregondigital.org/concern/documents/df70n4713' target='_blank'>https://oregondigital.org/concern/documents/df70n4713</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>","84-colored-page program for the 1976 U.S. Olympic Track and Field Trials held at Hayward Field. Showcasing athletes, coaches, teams, community, adidas shoes, nike shoes and tennis.",84-page prgram for the 1976 U.S. Olympic Track and Field Trials held at Hayward Field.,,,,
histoftrktwn_1972_rtay_008,,Robert Taylor,,1972,Hayward Field;Steve Prefontaine;Robert Taylor,"Eugene, OR",histoftrktwn_1972_rtay_008.jpg,"<a href=""https://oregondigital.org/""target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Steve Prefontaine & Robert taylor, 1972""16 Feb 2024,UO Athletics, University of Oregon <a href='https://oregondigital.org/concern/images/df668m588' target='_blank'>https://oregondigital.org/concern/images/df668m588</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>",Black and white photo of Steve Prefontaine and Robert Taylor sitting on the bleachers filled with people watching the 1972 Olympic Trials at Hayward Field.,Black and white photo of Steve Prefontaine and Robert Taylor sitting on the bleachers watching the 1972 Olympic Trials at Hayward Field.,,,,
histoftrktwn_1970_rtrl_009,,Red Trail,Duncan McDonald,1970,Nike;Trails,"Eugene, OR",histoftrktwn_1970_rtrl_009.jpg,"<a href=""https://oregondigital.org/""target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""T-shirt & shoes at the start of the red trail"".16 Feb 2024,UO Athletics, University of Oregon.<a href='https://oregondigital.org/concern/images/df6694179' target='_blank'> https://oregondigital.org/concern/images/df6694179</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>","Black and white photo of a pair of Nike's tied together hanging on a stick that holds a sign reading ""Start Red Trail."" A white shirt also hangs on a stick to the left that reads ""In oregon joggers have the right-of-way!"" Behind the signs lead to a trial that a jogger is running.  ",Black and white photo of a pair of Nike running shoes hanging from a marker indicating the start of the Red Trail near Alton Baker Park and a Tshirt. ,,,,
histoftrktwn_2021_hywf_010,,Hayward Field Renovation Sketch,Hoffman Construction,2021,Hayward Field;Renovations,"Eugene, OR",histoftrktwn_2021_hywf_010.jpg,"<a href=""https://www.hoffmancorp.com/project/hayward-field/"" target=""_blank"">Hoffman Construction Company - Hayward Field Renovations Project</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Hayward Field"" Hoffman Construction.2021,hoffmancorp.com,<a href='https://www.hoffmancorp.com/project/hayward-field/'target='_blank'>https://www.hoffmancorp.com/project/hayward-field/</a>",,"A professional drone shot from a birdseye view of Hayward Field. An open field and track in the center of the image, the olympic tower can be seen on the left of the arena right next to Agate Street, the student rec center and campus can be seen on the right of the arena.",Still images of the hayward field rennonvations from 2020.,,,,
histoftrktwn_2020_hywf_011,,Hayward Field Rennovation Sketch,Paula Pintos,2020,Hayward Field;Renovations,"Eugene, OR",histoftrktwn_2020_hywf_011.jpg,"<a href=""https://www.archdaily.com/983099/hayward-field-srg-partnership"" target=""_blank"">Architecture Daily - Hayward Field</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""S.R.G. Partnership Designs Renovation of Hayward Field at University of Oregon,""<cite>ArchDaily</cite>, 2021,<a href=""https://www.archdaily.com/983099/hayward-field-srg-partnership"" target=""_blank"">https://www.archdaily.com/983099/hayward-field-srg-partnership</a>.",,"Detailed architecture sketch from a birdseye view of the shape and layout of the arena; specifically where the seats, field and track will be inside the oval shaped arena.",Architecture sketches of hayward field's rennovation plans.,,,,
histoftrktwn_2021_hywf_028,JDlYbkV_8aY,Hayward Field,University of Oregon Go Ducks,2021,Hayward Field;Renovations,"Eugene, OR",histoftrktwn_2021_hywf_028.mp4,"<a href=""https://youtu.be/JDlYbkV_8aY?si=SweFTJjv5kkD6Nah"" target=""_blank"">University of Oregon Go Ducks Youtube Channel - The Importance of the Hayward Field Renovations</a>",Image;Moving Image,video/mp4,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""The Home of Oregon Track and Field,"" The University of Oregon Go Ducks Youtube, April 1, 2021, <a href='https://youtu.be/JDlYbkV_8aY?si=FVcWncYsRBP5udQc' target='_blank'>https://youtu.be/JDlYbkV_8aY?si=FVcWncYsRBP5udQc</a>",,"A professionally shot video giving us a timeline of the building of Hayward Field, all of the thoughts that went into the rennovations as well as some sneak peeks of the facilities made specifically for the track athletes.",University of Oregon video that explains the importance of Hayward Field in the track and field world and why the renovations were for the better.,,,,
histoftrktwn_1952_bhay_013,,Bill Hayward,Bill Bowerman,04/18/1952,Bill Hayward;Oregon Track and Field;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_1952_bhay_013.pdf,"<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1952-04-18/ed-1/seq-5/#words=BILL+Bill+Hayward+HAYWARD"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Bill Hayward--A Man to Remember,"" The Daily Emerald, April 18, 1952, <a href='https://oregonnews.uoregon.edu/lccn/2004260239/1952-04-18/ed-1/seq-5/#words=BILL+Bill+Hayward+HAYWARD'target='_blank'>https://oregonnews.uoregon.edu/lccn/2004260239/1952-04-18/ed-1/seq-5/#words=BILL+Bill+Hayward+HAYWARD</a>
","<a href=""https://creativecommons.org/licenses/by-nd/4.0/"" target=""_blank"">Attribution-NoDerivs 4.0 International</a>","A newspaper article detailing the legacy that Bill Hayward left at the Oregon track team, and the impact he made at the University, told my his friend Bill Bowerman.",A newspaper article written by Bill Bowerman about the impact Bill Hayward had at the University of Oregon.,,,,
histoftrktwn_1973_hywf_014,,Hayward Field,Walter J Wentz,11/05/1973,Hayward Field;Renovations;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_1973_hywf_014.pdf,"<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1973-11-05/ed-1/seq-27/#words=Bill+Hayward"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Hayward Facelift Reveals 'History,"" The Daily Emerald, November 5, 1973, <a href='https://oregonnews.uoregon.edu/lccn/2004260239/1973-11-05/ed-1/seq-27/#words=Bill+Hayward' target='_blank'>https://oregonnews.uoregon.edu/lccn/2004260239/1973-11-05/ed-1/seq-27/#words=Bill+Hayward</a>","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a","A newspaper article detailing the work and time that went into building the original Hayward Field, mentions Bill Hayward and Dan Kelley and the amount of time they spent at the track.",A newspaper article describing the process of building the original Hayward Field and when it will be unveiled so Oregon athletes could use it.,,,,
