objectid,youtubeid,title,creator,datecreated,subject,location,filename,source,type,format,language,rights,citation,creativecommons,image_alt_text,description,,,,,
histoftrktwn_2021_hywf_010,,Hayward Field ,Hoffman Construction,2021,Hayward Field;Renovations,"Eugene, OR",histoftrktwn_2021_hywf_010.jpg,"<a href=""https://www.hoffmancorp.com/project/hayward-field/"" target=""_blank"">Hoffman Construction Company - Hayward Field Renovations Project</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Hayward Field"" Hoffman Construction. 2021, hoffmancorp.com, <a href='https://www.hoffmancorp.com/project/hayward-field/'target='_blank'>https://www.hoffmancorp.com/project/hayward-field/</a>",,"A professional drone shot from a birdseye view of Hayward Field. An open field and track in the center of the image, the olympic tower can be seen on the left of the arena right next to Agate Street, the student rec center and campus can be seen on the right of the arena.",Still image of the hayward field rennonvations from 2020.,,,,,
histoftrktwn_2020_hywf_011,,Hayward Field ,Paula Pintos,2020,Hayward Field;Renovations,"Eugene, OR",histoftrktwn_2020_hywf_011.jpg,"<a href=""https://www.archdaily.com/983099/hayward-field-srg-partnership/6299ec6d1c9dbc7134a2de43-hayward-field-srg-partnership-plan-concourse-level?next_project=no"" target=""_blank"">Architecture Daily - Hayward Field</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""S.R.G. Partnership Designs Renovation of Hayward Field at University of Oregon,"" ArchDaily, 2021, archdaily.com, <a href='https://www.archdaily.com/983099/hayward-field-srg-partnership/6299ec6d1c9dbc7134a2de43-hayward-field-srg-partnership-plan-concourse-level?next_project=no' target='_blank'>https://www.archdaily.com/983099/hayward-field-srg-partnership/6299ec6d1c9dbc7134a2de43-hayward-field-srg-partnership-plan-concourse-level?next_project=no</a>",,"Detailed architecture sketch from a birdseye view of the shape and layout of the arena; specifically where the seats, field and track will be inside the oval shaped arena.",Architecture sketches of hayward field's rennovation plans.,,,,,
histoftrktwn_2021_hywf_028,JDlYbkV_8aY,Hayward Field,University of Oregon Go Ducks,2021,Hayward Field;Renovations,"Eugene, OR",histoftrktwn_2021_hywf_028.mp4,"<a href=""https://youtu.be/JDlYbkV_8aY?si=SweFTJjv5kkD6Nah"" target=""_blank"">University of Oregon Go Ducks Youtube Channel - The Importance of the Hayward Field Renovations</a>",Image;MovingImage,video/mp4,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""The Home of Oregon Track and Field,"" The University of Oregon Go Ducks Youtube, April 1, 2021, <a href='https://youtu.be/JDlYbkV_8aY?si=FVcWncYsRBP5udQc' target='_blank'>https://youtu.be/JDlYbkV_8aY?si=FVcWncYsRBP5udQc</a>",,"A professionally shot video giving us a timeline of the building of Hayward Field, all of the thoughts that went into the rennovations as well as some sneak peeks of the facilities made specifically for the track athletes.",University of Oregon video that explains the importance of Hayward Field in the track and field world and why the renovations were for the better.,,,,,
histoftrktwn_1952_bhay_013,,Bill Hayward,Bill Bowerman ,04/18/1952,Bill Hayward;Oregon Track and Field;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_1952_bhay_013.pdf,"<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1952-04-18/ed-1/seq-5/#words=BILL+Bill+Hayward+HAYWARD"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Bill Hayward--A Man to Remember,"" The Daily Emerald, April 18, 1952, <a href='https://oregonnews.uoregon.edu/lccn/2004260239/1952-04-18/ed-1/seq-5/#words=BILL+Bill+Hayward+HAYWARD'target='_blank'>https://oregonnews.uoregon.edu/lccn/2004260239/1952-04-18/ed-1/seq-5/#words=BILL+Bill+Hayward+HAYWARD</a>
","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>","A newspaper article detailing the legacy that Bill Hayward left at the Oregon track team, and the impact he made at the University, told my his friend Bill Bowerman.",A newspaper article written by Bill Bowerman about the impact Bill Hayward had at the University of Oregon.,,,,,
histoftrktwn_1973_hywf_014,,Hayward Field,Walter J Wentz,11/05/1973,Hayward Field;Renovations;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_1973_hywf_014.pdf,"<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1973-11-05/ed-1/seq-27/#words=Bill+Hayward"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Hayward Facelift Reveals 'History,"" The Daily Emerald, November 5, 1973, <a href='https://oregonnews.uoregon.edu/lccn/2004260239/1973-11-05/ed-1/seq-27/#words=Bill+Hayward' target='_blank'>https://oregonnews.uoregon.edu/lccn/2004260239/1973-11-05/ed-1/seq-27/#words=Bill+Hayward</a>","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>","A newspaper article detailing the work and time that went into building the original Hayward Field, mentions Bill Hayward and Dan Kelley and the amount of time they spent at the track.",A newspaper article describing the process of building the original Hayward Field and when it will be unveiled so Oregon athletes could use it.,,,,,
histoftrktwn_1947_demd_015,,Bill Hayward,Fred Taylor ,11/22/1947,Bill Hayward;Hayward Day;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_1947_demd_015.pdf,"<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1947-11-22/ed-1/seq-1/#words=Bill+Hayward"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Civil War Reopens At 2,"" Oregon Daily Emerald, November 22, 1947, <a href='https://oregonnews.uoregon.edu/lccn/2004260239/1947-11-22/ed-1/seq-1/#words=Bill+Hayward'target='_blank'>https://oregonnews.uoregon.edu/lccn/2004260239/1947-11-22/ed-1/seq-1/#words=Bill+Hayward</a> ","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",A newspaper with a side story on the topic of Hayward Day and all of the fesitivies that will come with it.,A newspaper article that talks about the upcoming Civil War game in Oregon as well as the festivities that come with Hayward Day and that Bill Hayward might not be there to see them happen.,,,,,
histoftrktwn_1981_bhay_016,,Bill Hayward,Jim Vitti,05/20/1981,Bill Hayward;Oregon Track and Field;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_1981_bhay_016.pdf,"<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1981-05-20/ed-1/seq-12/#words=Bill+Hayward"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""The Man in the White Hat,"" The Daily Emerald, May 20, 1981, <a href='https://oregonnews.uoregon.edu/lccn/2004260239/1981-05-20/ed-1/seq-12/#words=Bill+Hayward' target='_blank'>https://oregonnews.uoregon.edu/lccn/2004260239/1981-05-20/ed-1/seq-12/#words=Bill+Hayward</a>","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",Newspaper article describing 'the man in the white hat' also known as Track Coach Bill Hayward.,"A newspaper article sharing the lasting impact Bill Hayward had at Oregon and in the track world, and how great of a man and coach he was.",,,,,
histoftrktwn_2019_demd_017,,Bill Bowerman ,Emerald Media,1/11/2019,Bill Bowerman;Oregon Track and Field;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_2019demd_017.pdf,"<a href=""https://oregondigital.org/concern/documents/fx71cx04r"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Bowerman's Living Legacies,"" Oregon Daily Emerald, Jan 11, 2019, <a href='https://oregondigital.org/concern/documents/fx71cx04r'target='_blank'>https://oregondigital.org/concern/documents/fx71cx04r</a>","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",Newspaper article on the legacy that the late track coach Bill Bowerman left here in Oregon and in TrackTown.,An entire newspaper dedicated to the legacy Bill Bowerman left in Oregon and Track Town.,,,,,
hisoftrktwn_1970_hywf_002,,Hayward Field ,Lutes & Amundson,1970,Hayward Field;Renovations,"Eugene, OR",hisoftrktwn_1970_hywf_002.jpg,"<a href=""https://oregondigital.org/concern/images/df669410c"" target=""_blank"">UO Athletics - University of Oregon. Libraries. Special Collections and University Archives.</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Hayward Field Rehabilitation."" Oregon Digital, 1970, https://oregondigital.org/concern/images/df669410c.","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",A detailed sketch that shows where the construction of Hayward Field will take place off of Agate street from a birdseye view.,The final layout of the construction of the original Hayward Field in relation to the rest of campus.,,,,,
,,,,,,,,,,,,,,,,,,,,,
